userId,title,rating,movieId
1,Silver Linings Playbook,6.0,95
1,The Lord of the Rings: The Fellowship of the Ring,7.5,15
1,Harry Potter and the Philosopher's Stone,8.0,30
1,The Fifth Element,7.5,158
1,Taken,8.0,128
1,Maleficent,5.5,115
1,World War Z,6.0,69
1,The Fault in Our Stars,8.5,171
1,Reservoir Dogs,7.0,175
1,Man of Steel,8.0,45
1,The Imitation Game,9.5,66
1,Twilight,7.5,183
1,Back to the Future Part II,6.5,165
1,Spider-Man,7.0,78
1,X-Men: The Last Stand,5.5,187
1,Terminator Genisys,7.0,178
1,The Empire Strikes Back,10.0,56
1,The Hunger Games: Mockingjay - Part 2,7.5,152
1,Prometheus,6.5,82
1,The Hunger Games: Mockingjay - Part 1,6.0,68
1,Men in Black,7.5,124
1,Jurassic World,5.0,16
1,Transformers,7.0,148
1,The Hobbit: The Battle of the Five Armies,6.0,93
1,Gravity,8.0,65
1,Harry Potter and the Chamber of Secrets,7.0,60
1,300,6.5,84
1,Harry Potter and the Goblet of Fire,6.5,67
1,Dawn of the Planet of the Apes,7.0,125
1,Spider-Man 2,7.5,132
1,Mad Max: Fury Road,8.5,9
1,The Hobbit: An Unexpected Journey,7.5,18
1,Ant-Man,8.5,55
1,Frozen,10.0,75
1,X-Men Origins: Wolverine,6.0,150
1,Brave,6.5,104
1,How to Train Your Dragon,6.0,135
1,The Amazing Spider-Man 2,8.0,137
1,Insurgent,8.0,164
1,Harry Potter and the Half-Blood Prince,6.5,76
1,Pirates of the Caribbean: Dead Man's Chest,7.5,79
1,Aladdin,9.0,198
1,The Wolf of Wall Street,8.0,38
1,The Lord of the Rings: The Two Towers,9.0,24
1,Black Swan,7.5,122
1,Argo,5.5,196
1,Captain America: The First Avenger,8.0,29
1,The Shawshank Redemption,10.0,19
1,Her,9.0,143
1,Pirates of the Caribbean: On Stranger Tides,5.5,86
1,Pirates of the Caribbean: At World's End,6.0,114
1,Drive,6.0,174
1,Interstellar,9.0,5
1,The Prestige,9.5,126
1,American Sniper,8.0,117
1,The Lion King,9.0,73
1,The Terminator,6.5,140
1,Ted,6.5,98
2,Looper,7.0,99
2,Django Unchained,7.0,6
2,Saving Private Ryan,7.5,83
2,The Incredibles,7.0,81
2,Harry Potter and the Prisoner of Azkaban,7.0,58
2,Oz: The Great and Powerful,6.5,185
2,Frozen,7.5,75
2,Brave,6.0,104
2,Edward Scissorhands,8.5,180
2,Black Swan,7.5,122
2,Alice in Wonderland,7.5,102
2,21 Jump Street,7.5,144
2,Fight Club,7.5,10
2,The Grand Budapest Hotel,7.5,112
2,Gladiator,9.0,72
2,Harry Potter and the Order of the Phoenix,8.0,70
2,Inglourious Basterds,8.0,43
2,Avatar,7.5,2
2,Spirited Away,10.0,163
2,The Hateful Eight,7.0,133
2,The Amazing Spider-Man 2,7.0,137
2,Edge of Tomorrow,7.5,88
2,The Dark Knight,8.0,1
2,Thor,8.0,40
2,A Good Day to Die Hard,6.0,190
2,Argo,8.0,196
2,The Terminator,9.0,140
2,The Matrix Reloaded,6.5,193
2,The Departed,8.5,130
2,The Truman Show,7.5,109
2,Mission: Impossible - Ghost Protocol,7.0,153
2,The Maze Runner,7.0,74
